,Unnamed: 0,route_name,route_link,bus_name,bus_type,departing_time,duration,arrival_time,star_rating,fare_price,seat_availablity
88,88,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4789,STAR LINER(NON-AC SLEEPER 2+1),22:05,06h 25m,04:30,3.9,607,16
89,89,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4340,INDRA(A.C. Seater),22:10,06h 50m,05:00,2.6,567,21
90,90,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4821,Super Luxury (Non AC Seater 2+2 Push Back),22:10,06h 20m,04:30,4.3,517,17
91,91,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 47891,STAR LINER(NON-AC SLEEPER 2+1),22:10,06h 20m,04:30,3.9,607,15
92,92,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35106,VENNELA (A.C. SLEEPER),22:10,05h 50m,04:00,4.1,737,6
93,93,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3691,INDRA(A.C. Seater),22:10,06h 20m,04:30,3.8,541,29
94,94,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4355,Super Luxury (Non AC Seater 2+2 Push Back),22:10,07h 05m,05:15,4.5,436,20
95,95,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4049,Super Luxury (Non AC Seater 2+2 Push Back),22:15,07h 20m,05:35,4.0,436,23
96,96,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3944,Super Luxury (Non AC Seater 2+2 Push Back),22:20,06h 25m,04:45,3.8,436,29
97,97,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3582,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:25,06h 05m,04:30,4.2,670,30
98,98,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3510,INDRA(A.C. Seater),22:25,06h 10m,04:35,3.8,528,36
99,99,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3693,NIGHT RIDER (SEATER CUM SLEEPER),22:25,06h 35m,05:00,3.8,595,31
100,100,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3909,Super Luxury (Non AC Seater 2+2 Push Back),22:30,07h 05m,05:35,3.1,448,30
101,101,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3824,Super Luxury (Non AC Seater 2+2 Push Back),22:30,06h 40m,05:10,3.7,436,28
102,102,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 1445,Super Luxury (Non AC Seater 2+2 Push Back),22:30,07h 00m,05:30,4.3,436,31
103,103,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3560,INDRA(A.C. Seater),22:30,05h 15m,03:45,4.2,528,30
104,104,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3695,Super Luxury (Non AC Seater 2+2 Push Back),22:30,06h 50m,05:20,3.9,480,26
105,105,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 39659,Super Luxury (Non AC Seater 2+2 Push Back),22:30,06h 30m,05:00,3.9,488,25
106,106,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 9365,Super Luxury (Non AC Seater 2+2 Push Back),22:30,06h 30m,05:00,3.6,414,29
107,107,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4791,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:40,06h 20m,05:00,4.3,670,28
